cluster_type,LET,inner_pixels,energy,lw_ratio,density,pixel_count
LIGHT_TRACK,1.13,0,566.0,5.167,1.403,9
SMALL_BLOB,0.146,0,73.0,1,1,1
LIGHT_TRACK,1.037,0,519.0,5.25,1.417,7
LIGHT_TRACK,1.157,0,579.0,4.5,1.444,9
LIGHT_TRACK,2.399,1,1211.0,8.818,0.818,18
SMALL_BLOB,0.352,0,176.0,1,1,1
SMALL_BLOB,0.356,0,178.0,1,1,1
SMALL_BLOB,0.138,0,69.0,1,1,1
STRAIGHT_TRACK,1.334,0,669.0,8.2,1.268,10
SMALL_BLOB,0.168,0,84.0,1,1,1
LIGHT_TRACK,1.228,0,615.0,6.0,1.5,9
LIGHT_TRACK,0.848,0,424.0,3.0,2.083,5
LIGHT_TRACK,1.083,0,542.0,5.5,1.818,8
SMALL_BLOB,0.352,0,176.0,1,1,2
SMALL_BLOB,0.078,0,39.0,1,1,1
SMALL_BLOB,0.09,0,45.0,1,1,1
STRAIGHT_TRACK,1.422,0,714.0,10.0,1.25,10
LIGHT_TRACK,1.11,0,556.0,6.0,1.458,7
LIGHT_TRACK,1.058,0,530.0,5.25,1.393,9
SMALL_BLOB,0.142,0,71.0,1,1,1
LIGHT_TRACK,2.23,1,1118.0,3.4,0.765,13
LIGHT_TRACK,0.778,0,389.0,2.0,1.25,5
LIGHT_TRACK,0.872,1,436.0,1.5,2.0,6
SMALL_BLOB,0.134,0,67.0,1,1,2
SMALL_BLOB,0.122,0,61.0,1,1,2
SMALL_BLOB,0.346,0,173.0,1,1,2
SMALL_BLOB,0.22,0,110.0,1,1,2
LIGHT_TRACK,1.967,3,984.0,1.5,1.5,9
SMALL_BLOB,0.248,0,124.0,1,1,2
SMALL_BLOB,0.152,0,76.0,1,1,1
LIGHT_TRACK,2.41,1,1212.0,4.609,0.637,16
SMALL_BLOB,0.086,0,43.0,1,1,1
SMALL_BLOB,0.432,0,216.0,1,1,2
SMALL_BLOB,0.78,0,390.0,1.0,3.0,3
STRAIGHT_TRACK,2.094,0,1059.0,12.0,1.094,21
STRAIGHT_TRACK,4.723,0,2525.0,16.083,0.516,46
LIGHT_TRACK,1.468,0,736.0,7.143,1.269,12
LIGHT_TRACK,2.374,1,1190.0,2.5,0.56,14
SMALL_BLOB,0.676,0,338.0,1,1,2
LIGHT_TRACK,1.48,1,740.0,1.5,1.167,7
LIGHT_TRACK,0.977,0,489.0,5.0,1.6,8
SMALL_BLOB,0.66,0,330.0,1,1,2
SMALL_BLOB,0.034,0,17.0,1,1,1
SMALL_BLOB,0.148,0,74.0,1,1,1
SMALL_BLOB,0.132,0,66.0,1,1,2
LIGHT_TRACK,4.323,2,2241.0,3.885,0.203,39
SMALL_BLOB,0.146,0,73.0,1,1,1
LIGHT_TRACK,1.314,0,659.0,7.8,1.41,11
SMALL_BLOB,0.14,0,70.0,1,1,1
SMALL_BLOB,0.204,0,102.0,1,1,1
SMALL_BLOB,0.282,0,141.0,1,1,1
SMALL_BLOB,0.368,0,184.0,1,1,2
SMALL_BLOB,0.068,0,34.0,1,1,1
SMALL_BLOB,0.026,0,13.0,1,1,1
SMALL_BLOB,0.204,0,102.0,1,1,2
LIGHT_TRACK,1.18,2,590.0,2.0,1.75,7
LIGHT_TRACK,0.873,0,437.0,4.667,1.667,7
LIGHT_TRACK,1.198,0,600.0,6.5,1.731,9
SMALL_BLOB,0.258,0,129.0,1,1,1
LIGHT_TRACK,1.09,0,545.0,4.0,2.5,5
SMALL_BLOB,0.328,0,164.0,1,1,2
LIGHT_TRACK,1.748,0,874.0,3.5,0.857,12
SMALL_BLOB,0.258,0,129.0,1,1,1
LIGHT_TRACK,2.705,3,1355.0,2.267,0.567,17
SMALL_BLOB,0.276,0,138.0,1,1,1
LIGHT_TRACK,1.288,0,644.0,2.0,2.5,5
HEAVY_TRACK,2.211,5,1106.0,1.5,1.667,10
SMALL_BLOB,0.378,0,189.0,1,1,2
SMALL_BLOB,0.06,0,30.0,1,1,1
LIGHT_TRACK,3.758,0,1904.0,3.413,0.328,24
LIGHT_TRACK,5.477,4,2766.0,2.857,0.457,32
SMALL_BLOB,0.811,0,406.0,1.0,2.0,4
LIGHT_TRACK,1.06,0,530.0,3.0,2.0,6
SMALL_BLOB,0.114,0,57.0,1,1,1
SMALL_BLOB,0.308,0,154.0,2.0,3.0,3
SMALL_BLOB,0.092,0,46.0,1,1,1
SMALL_BLOB,0.036,0,18.0,1,1,1
SMALL_BLOB,0.152,0,76.0,1,1,1
LIGHT_TRACK,1.153,0,577.0,5.0,1.75,7
SMALL_BLOB,0.288,0,144.0,1,1,1
LIGHT_TRACK,2.053,0,1034.0,7.1,0.766,16
SMALL_BLOB,0.152,0,76.0,1,1,1
SMALL_BLOB,0.342,0,171.0,1,1,2
STRAIGHT_TRACK,1.197,0,600.0,10.0,2.0,10
SMALL_BLOB,0.152,0,76.0,1,1,2
SMALL_BLOB,0.2,0,100.0,1,1,1
LIGHT_TRACK,0.752,0,376.0,2.0,2.5,5
STRAIGHT_TRACK,2.846,0,1430.0,20.0,1.1,22
SMALL_BLOB,0.532,0,266.0,2.0,3.0,3
SMALL_BLOB,0.166,0,83.0,1,1,2
LIGHT_TRACK,0.943,0,472.0,4.833,1.333,8
SMALL_BLOB,0.104,0,52.0,1,1,1
LIGHT_TRACK,1.096,0,549.0,7.0,1.651,8
STRAIGHT_TRACK,1.901,0,953.0,15.0,1.2,18
SMALL_BLOB,0.362,0,181.0,1,1,1
SMALL_BLOB,0.104,0,52.0,1,1,1
SMALL_BLOB,0.394,0,197.0,1.0,4.0,4
SMALL_BLOB,0.268,0,134.0,1,1,1
SMALL_BLOB,0.214,0,107.0,1,1,2
SMALL_BLOB,0.56,0,280.0,1,1,3
LIGHT_TRACK,2.46,0,1240.0,6.182,0.62,16
SMALL_BLOB,0.282,0,141.0,1,1,1
SMALL_BLOB,0.242,0,121.0,1,1,1
SMALL_BLOB,0.032,0,16.0,1,1,1
SMALL_BLOB,0.468,0,234.0,1.0,3.0,3
LIGHT_TRACK,7.834,4,4263.0,4.177,0.154,67
LIGHT_TRACK,5.457,5,2755.0,1.041,0.26,40
SMALL_BLOB,0.618,0,309.0,1.0,3.0,3
LIGHT_TRACK,0.973,0,487.0,7.0,1.714,6
SMALL_BLOB,0.086,0,43.0,1,1,1
